Fecha,Muestreo,Hoja,x,y
17/9/2021,M20,110,-83.8756,9.263715
17/9/2021,M20,109,-83.875616,9.263701
18/3/2021,M18,107,-83.875707,9.263881
7/9/2020,M5,11,-83.875716,9.263878
14/9/2020,M8,62,-83.875729,9.263037
9/8/2020,M3,15,-83.875734,9.26308
25/11/2020,M13,37,-83.875739,9.263806
1/12/2020,M14 ,14,-83.875742,9.263836
1/12/2020,M14 ,11,-83.875744,9.263801
14/9/2020,M8,69,-83.875756,9.263823
1/12/2020,M14 ,13,-83.875756,9.263821
17/9/2021,M20,107,-83.875759,9.263895
1/12/2020,M14 ,12,-83.87576,9.263796
17/9/2021,M20,108,-83.87576,9.26383
14/9/2020,M8,68,-83.875764,9.263837
12/9/2020,M7,92,-83.875766,9.263857
7/9/2020,M5,1,-83.875767,9.262957
12/9/2020,M7,91,-83.875767,9.263806
16/9/2020,M9,12,-83.875769,9.263823
25/11/2020,M13,36,-83.87577,9.263787
23/9/2020,M11,52,-83.875774,9.263054
14/9/2020,M8,63,-83.875775,9.263043
16/9/2020,M9,4,-83.875775,9.263014
16/9/2020,M9,13,-83.875775,9.263797
26/1/2021,M16,10,-83.875776,9.263846
4/8/2020,M1,147,-83.875777,9.26308
16/9/2020,M9,11,-83.875778,9.263843
4/12/2020,M15,4,-83.875778,9.263764
17/9/2021,M20,106,-83.875789,9.263853
15/3/2021,M17,40,-83.875791,9.26379
12/8/2020,M4,99,-83.875792,9.263771
4/12/2020,M15,3,-83.875792,9.263759
25/11/2020,M13,38,-83.875795,9.263814
12/9/2020,M7,78,-83.875801,9.263103
23/9/2020,M11,57,-83.875801,9.263804
12/9/2020,M7,79,-83.875802,9.263132
19/9/2020,M10,36,-83.875807,9.263087
15/3/2021,M17,35,-83.875808,9.263094
17/9/2021,M20,105,-83.875808,9.263816
1/12/2020,M14 ,15,-83.875811,9.263808
21/4/2021,M19,38,-83.875811,9.263766
19/9/2020,M10,35,-83.875813,9.263048
26/1/2021,M16,2,-83.875815,9.26302
23/9/2020,M11,51,-83.875817,9.263058
16/9/2020,M9,2,-83.875818,9.263108
19/9/2020,M10,34,-83.875818,9.263067
19/9/2020,M10,37,-83.875821,9.263028
25/11/2020,M13,35,-83.875828,9.2638
9/8/2020,M3,11,-83.875829,9.26374
17/9/2021,M20,102,-83.875829,9.263788
17/9/2021,M20,101,-83.87583,9.263828
12/8/2020,M4,45,-83.875833,9.263753
17/9/2021,M20,111,-83.875833,9.263772
17/9/2021,M20,103,-83.875834,9.263811
1/12/2020,M14 ,9,-83.875835,9.263837
19/9/2020,M10,33,-83.875836,9.263046
1/12/2020,M14 ,3,-83.875837,9.263044
7/9/2020,M5,10,-83.87584,9.263763
16/9/2020,M9,3,-83.87584,9.263172
26/1/2021,M16,9,-83.87584,9.263826
12/8/2020,M4,98,-83.875841,9.263797
17/9/2021,M20,104,-83.875842,9.263849
19/9/2020,M10,42,-83.875844,9.263781
1/12/2020,M14 ,8,-83.87585,9.263807
12/8/2020,M4,91,-83.875851,9.263092
17/9/2021,M20,86,-83.875851,9.263124
1/12/2020,M14 ,10,-83.875855,9.263832
21/4/2021,M19,35,-83.875855,9.263099
23/9/2020,M11,50,-83.87586,9.263051
1/12/2020,M14 ,2,-83.87586,9.26307
25/11/2020,M13,34,-83.875862,9.263063
18/3/2021,M18,108,-83.875862,9.263795
23/9/2020,M11,56,-83.875863,9.263775
4/12/2020,M15,1,-83.875863,9.263096
4/8/2020,M1,129,-83.875864,9.263498
12/9/2020,M7,77,-83.875873,9.263095
1/12/2020,M14 ,1,-83.875875,9.263034
26/1/2021,M16,8,-83.875877,9.263523
19/9/2020,M10,41,-83.875879,9.263745
1/12/2020,M14 ,16,-83.87588,9.263799
12/8/2020,M4,90,-83.875883,9.263021
23/9/2020,M11,49,-83.875885,9.263087
26/1/2021,M16,7,-83.875889,9.263512
18/3/2021,M18,105,-83.875893,9.26353
21/4/2021,M19,37,-83.875896,9.263512
18/3/2021,M18,109,-83.875898,9.263826
9/8/2020,M3,9,-83.875904,9.263753
16/9/2020,M9,1,-83.875913,9.262915
9/8/2020,M3,10,-83.875916,9.26373
26/1/2021,M16,11,-83.875918,9.263751
17/9/2021,M20,87,-83.875929,9.263215
15/3/2021,M17,41,-83.875931,9.263814
18/3/2021,M18,106,-83.875934,9.263542
15/3/2021,M17,42,-83.875937,9.263859
9/8/2020,M3,8,-83.875939,9.263527
18/3/2021,M18,104,-83.87595,9.263493
17/9/2021,M20,100,-83.875951,9.26382
1/12/2020,M14 ,7,-83.875956,9.263533
4/8/2020,M1,128,-83.875964,9.263476
26/1/2021,M16,6,-83.875968,9.263463
1/12/2020,M14 ,17,-83.875969,9.263827
14/9/2020,M8,67,-83.875972,9.263571
4/8/2020,M1,146,-83.875979,9.263124
15/3/2021,M17,38,-83.875983,9.263424
16/9/2020,M9,10,-83.875988,9.263553
12/9/2020,M7,90,-83.875991,9.263559
17/9/2021,M20,88,-83.875993,9.263211
17/9/2021,M20,89,-83.875993,9.263204
1/12/2020,M14 ,4,-83.875997,9.262975
15/3/2021,M17,39,-83.875997,9.263453
18/3/2021,M18,48,-83.875998,9.263173
16/9/2020,M9,5,-83.876,9.263096
12/9/2020,M7,81,-83.876002,9.263177
7/8/2020,M2,33,-83.876016,9.263598
16/9/2020,M9,7,-83.876025,9.263279
15/3/2021,M17,44,-83.876025,9.263815
15/3/2021,M17,37,-83.876027,9.263391
23/9/2020,M11,55,-83.876028,9.263497
21/4/2021,M19,123,-83.876034,9.263502
7/8/2020,M2,6,-83.876038,9.26352
21/4/2021,M19,124,-83.876039,9.263572
18/3/2021,M18,102,-83.87604,9.263474
7/8/2020,M2,7,-83.876041,9.263478
21/4/2021,M19,36,-83.876041,9.263293
16/9/2020,M9,6,-83.876044,9.263224
4/12/2020,M15,7,-83.876052,9.263902
21/4/2021,M19,39,-83.876053,9.26386
12/8/2020,M4,92,-83.876054,9.263164
4/12/2020,M15,5,-83.876056,9.263864
19/9/2020,M10,40,-83.876059,9.263263
4/12/2020,M15,2,-83.876059,9.263176
23/9/2020,M11,58,-83.876061,9.263931
7/9/2020,M5,9,-83.876067,9.263556
12/8/2020,M4,93,-83.876069,9.263092
23/9/2020,M11,54,-83.876069,9.263515
4/8/2020,M1,130,-83.876073,9.263227
4/8/2020,M1,131,-83.876073,9.263141
4/8/2020,M1,133,-83.876074,9.263199
15/3/2021,M17,43,-83.876075,9.263751
18/3/2021,M18,103,-83.876075,9.263478
2/12/2020,M14 ,126,-83.876078,9.26392
21/4/2021,M19,119,-83.876085,9.263036
4/8/2020,M1,132,-83.876086,9.263253
4/12/2020,M15,6,-83.876086,9.263867
7/8/2020,M2,1,-83.87609,9.262825
9/8/2020,M3,7,-83.87609,9.263482
16/9/2020,M9,9,-83.876093,9.263507
12/9/2020,M7,80,-83.876095,9.263184
15/3/2021,M17,36,-83.876095,9.263182
17/9/2021,M20,90,-83.876098,9.263503
1/12/2020,M14 ,18,-83.8761,9.26395
21/4/2021,M19,120,-83.876108,9.263214
12/8/2020,M4,43,-83.876109,9.263548
21/4/2021,M19,40,-83.87611,9.263904
18/3/2021,M18,49,-83.876111,9.263243
17/9/2021,M20,99,-83.876117,9.263869
7/9/2020,M5,12,-83.876118,9.26357
19/9/2020,M10,43,-83.87612,9.263937
12/9/2020,M7,87,-83.876121,9.263596
